TEXT,LABEL1,LABEL2
"Muss ich mich testen lassen, bevor ich in die $ORT gehe?",Testen,
Gilt in $SuL eine Testpflicht?,Testen,
"Was mache ich, wenn ich mich angesteckt habe?",Allgemein,
Welche Regelungen gelten für Spielplätze?,Kinder,
Welche Regelungen gelten für kranke Kinder?,Kinder,
Was gilt für kranke Kinder?,Kinder,
Was mache ich mit meinem kranken Kind?,Kinder,
Darf mein Kind in den Kindergarten?,Kinder,
Darf mein Kind in die Schule?,Kinder,Schule
Darf ich mit dem Hund raus?,Allgemein,Ausgangssperre
Was ist mit dem Unterricht in $SuL?,Schule,
Kann man in $SuL normal in die Schule gehen?,Schule,
Wie ist der Stand in $SuL mit den Schulen?,Schule,
Was ist mit Masken in $ORT),Maskenpflicht,
Kann ich in $SuL ganz normal in die Schule gehen?,Schule,
Kann mein Kind in $SuL normal in die Schule gehen?,Schule,
Kann mein Kind in $SuL in die Schule gehen?,Schule,
Kann ich in $SuL Nachts raus gehen?,Ausgangssperre,
Kann ich in $SuL Nachts raus?,Ausgangssperre,
Darf ich in $SuL Nachts raus?,Ausgangssperre,
Kann ich in $SuL Nachts vor die Tür?,Ausgangssperre,
"Muss ich etwas beachten, wenn ich $SuL Nachts raus möchte?",Ausgangssperre,
"Muss ich Maske tragen, wenn ich ins $ORT gehe?",Maskenpflicht,
Maske im $ORT?,Maskenpflicht,
"Muss ich Maske tragen, wenn ich in den $ORT gehe?",Maskenpflicht,
"Muss ich Maske tragen, wenn ich $ORT besuche?",Maskenpflicht,
"Was ist mit Masken, wenn ich ins $ORT gehe?",Maskenpflicht,
"Brauche ich eine Maske, wenn ich ins $ORT gehe?",Maskenpflicht,
Brauche ich eine Maske in $ORT?,Maskenpflicht,
Brauche ich eine Maske im $ORT?,Maskenpflicht,
Kann ich ohne Maske in das $ORT?,Maskenpflicht,
Kann ich ohne Maske ins $ORT?,Maskenpflicht,
Kann ich ohne Maske zum $ORT?,Maskenpflicht,
Kann ich ohne Maske ins $GASTRO?,Gastro,Maskenpflicht
Kann ich ohne Maske ins $KULTUR?,Kultur,Maskenpflicht
Brauche ich eine Maske im $GASTRO?,Gastro,Maskenpflicht
Brauche ich eine Maske im $KULTUR?,Kultur,Maskenpflicht
Brauche ich eine Maske beim $SPORT?,Sport,Maskenpflicht
Maske in $ORT?,Maskenpflicht,
Maske im $ORT?,Maskenpflicht,
Brauche ich ne Maske für $AKTI?,Maskenpflicht,
Muss ich in $ORT eine Maske tragen?,Maskenpflicht,
Darf ich ohne Maske raus?,Maskenpflicht,
Wie lange soll die Maskenpflicht noch gehen?,Maskenpflicht,
Warum der Mundschutz?,Maskenpflicht,
Warum die Maske?,Maskenpflicht,
Warum muss ich eine maske tragen?,Maskenpflicht,
Warum soll ich eine Maske tragen?,Maskenpflicht,
Wozu die Maske?,Maskenpflicht,
Wozu der Mundschutz?,Maskenpflicht,
Warum wird jetzt über die Maskenpflicht öffentlich diskutiert?,Maskenpflicht,
Wieso wird über die Maskenpflicht öffentlich diskutiert?,Maskenpflicht,
Welche Auswirkungen hat die Maskenpflicht auf die Wirtschaft?,Maskenpflicht,
Welche Auswirkungen hat die Maskenpflicht auf mich?,Maskenpflicht,
Was bringen die Masken beim Kampf gegen das Corona-Virus?,Maskenpflicht,
Was bringender Mund- Nasenschutz?,Maskenpflicht,
Warum ein Mund- Nasenschutz?,Maskenpflicht,
Wie sieht es in anderen Ländern aus?,Allgemein,
"Was kann ich tun, wenn ich von der Maske genervt bin?",Maskenpflicht,
"Was kann ich tun, wenn mir die Maske auf den Sack geht?",Maskenpflicht,
Mir geht die Maske auf die Nerven?,Maskenpflicht,
Wie lange wird es die Maskenpflicht noch geben?,Maskenpflicht,
Wie lange brauche ich diese Maske noch?,Maskenpflicht,
Wie kann ich mich und andere mit der AHA+L+A-Formel vor einer Ansteckung schützen?,Allgemein,
Wie kann ich mich und andere mit der AHA Regeln vor einer Ansteckung schützen?,Allgemein,
Wie kann ich mich und andere schützen?,Allgemein,
Was kann ich tun?,Allgemein,
Was soll ich tun?,Allgemein,
Welche Reglen muss ich in $SuL beachten?,Allgemein,
Welche Reglen muss ich in $ORT beachten?,Allgemein,
Welche Reglen muss ich bei $VER beachten?,Allgemein,
Welche Reglen muss ich bei $AKTI beachten?,Allgemein,
Welche Reglen muss ich beim $SPORT beachten?,Sport,
Welche Reglen muss ich beim $KULTUR beachten?,Kultur,
Welche Reglen muss ich im $GASTRO beachten?,Gastro,
Welche Corona-Regelungen gelten zurzeit in $SuL?,Allgemein,
Welche Corona-Regelungen gelten zurzeit in $ORT?,Allgemein,
Welche Corona-Regelungen gelten zurzeit bei $AKTI?,Allgemein,
Welche Corona-Regelungen gelten zurzeit bei $VER?,Veranstaltungen,
Welche Corona-Regelungen gelten zurzeit beim $SPORT?,Sport,
Welche Corona-Regelungen gelten zurzeit in der $GASTRO?,Gastro,
Welche Corona-Regelungen gelten zurzeit im $KULTUR?,Kultur,
"Warum ist es wichtig, Abstand zu halten bzw. soziale Kontakte zu beschränken?",Allgemein,
Warum muss ich Abstand halten?,Allgemein,
Wie können sich besonders gefährdete Personen schützen?,Allgemein,
Wie bewertet die Corona-Warn-App ein mögliches Infektionsrisiko?,Allgemein,
Wie funktioniert die Corona-Warn-App?,Allgemein,
Ich bin von einer SARS-CoV-2 -Infektion genesen. Wie soll ich mich nun verhalten?,Allgemein,
Was sollten Menschen mit Allergien und Asthma beachten?,Allgemein,
Was gilt es zu beachten?,Allgemein,
Warum ist das Tragen von Masken im Alltag wichtig?,Maskenpflicht,
Was ist beim Tragen eines Mund-Nasen-Schutzes (OP-Maske) in der Öffentlichkeit zu beachten?,Maskenpflicht,
Welche Maskentypen gibt es und wie unterscheiden sie sich?,Maskenpflicht,
Worauf ist im Umgang mit Masken im Alltag zu achten?,Maskenpflicht,
Was ist beim Tragen eines Mund-Nasen-Schutzes (OP-Maske) in der Öffentlichkeit zu beachten?,Maskenpflicht,
"Was muss beachtet werden, wenn Kinder Masken tragen?",Kinder,Maskenpflicht
Ist das Tragen von Visieren anstatt einer Maske sinnvoll?,Maskenpflicht,
Wo finde ich Informationen zur Corona-Schutzimpfung?,Impfung,
Was ist zum Schutz von Beschäftigten vor dem Coronavirus SARS-CoV-2 in Betrieben zu beachten?,Arbeit,
Sollte ich im häuslichen Umfeld Desinfektionsmittel einsetzen?,Allgemein,
Helfen elektrische Händetrockner gegen das Coronavirus SARS-CoV-2?,Allgemein,
Wie wird das Coronavirus SARS-CoV-2 übertragen?,Allgemein,
Welche Rolle spielen Aerosole bei der Übertragung des Coronavirus SARS-CoV-2?,Allgemein,
Wieso ist die Ansteckungsgefahr draußen geringer als drinnen?,Allgemein,
Was bringen Luftreinigungsgeräte bzw. mobile Luftdesinfektionsgeräte?,Allgemein,
Was ist beim Lüften zu beachten?,Allgemein,
"Besteht die Gefahr, sich über Lebensmittel, Oberflächen oder Gegenstände mit dem Coronavirus SARS-CoV-2 anzustecken?",Allgemein,
Welche Rolle spielen Klimaanlagen und -geräte bei der Übertragung des Coronavirus SARS-CoV-2?,Allgemein,
Kann das Coronavirus SARS-CoV-2 über Wasser übertragen werden?,Allgemein,
Kann das Coronavirus SARS-CoV-2 durch Stechmücken übertragen werden?,Allgemein,
Welche Empfehlungen gibt es für den Umgang mit Haustieren?,Allgemein,
"Kann man für andere ansteckend sein, bevor man Krankheitszeichen entwickelt (präsymptomatisch) oder wenn man selbst gar nicht krank wird (asymptomatisch)?",Allgemein,
Wann entwickelt man Krankheitszeichen und wann ist man ansteckend?,Allgemein,
Wie lange ist eine Person ansteckend?,Allgemein,
Weshalb reicht ein positiver Antikörper-Test nicht als Nachweis für eine durchgemachte COVID-19-Erkrankung aus?,Allgemein,
Was tun nach Kontakt zu einer an COVID-19 erkrankten Person?,Allgemein,
"Wie lange dauert es, bis die Erkrankung nach Ansteckung ausbricht?",Allgemein,
Ich habe Krankheitszeichen. Was soll ich tun?,Allgemein,
Welche Krankheitszeichen werden durch das Coronavirus SARS-CoV-2 ausgelöst?,Allgemein,
Zu welchen Komplikationen und Folgeerkrankungen kann COVID-19 führen?,Allgemein,
Was ist Long COVID?,Allgemein,
Wie gut gesichert ist das aktuelle Wissen über die gesundheitlichen Langzeitfolgen von COVID-19 bzw. Long COVID?,Allgemein,
