LABEL,PAGE_HTML,LINK
ja,001.txt,https://www.hessen.de/fuer-buerger/aktuelle-informationen-zu-corona-hessen
ja,002.txt,https://www.hessen.de/fuer-buerger/corona-hessen/geschaefte-dienstleistungen-und-handwerk
ja,003.txt,https://www.hessen.de/fuer-buerger/corona-hessen/geschaefte-dienstleistungen-und-handwerk/dienstleistungen-und-handwerk
ja,004.txt,https://www.hessen.de/fuer-buerger/corona-hessen/geschaefte-dienstleistungen-und-handwerk/geschaefte-und-maerkte
ja,005.txt,https://www.hessen.de/fuer-buerger/corona-hessen/bildung-und-betreuung
ja,006.txt,https://www.hessen.de/fuer-buerger/corona-hessen/bildung-und-betreuung/betreuung-und-schule
ja,007.txt,https://www.hessen.de/fuer-buerger/corona-hessen/bildung-und-betreuung/studium-und-hochschulen
ja,008.txt,https://www.hessen.de/fuer-buerger/corona-hessen/bildung-und-betreuung/ausserschulische-bildungsangebote-und-ausbildung
nein,009.txt,https://www.hessen.de/fuer-buerger/corona-hessen/fremdsprachliche-informationen
nein,010.txt,https://www.hessen.de/fuer-buerger/corona-hessen/gesundheitsaemter-der-kreise-und-kreisfreien-staedte
ja,011.txt,https://www.hessen.de/fuer-buerger/corona-hessen/verordnungen-und-allgemeinverfuegungen
Impfung,012.txt,https://www.hessen.de/fuer-buerger/corona-in-hessen/informationen-zu-den-corona-impfungen
nein,013.txt,https://corona-impfung.hessen.de/
Impfung,014.txt,https://corona-impfung.hessen.de/sofortimpfung-f%C3%BCr-alle
nein,015.txt,https://corona-impfung.hessen.de/aktuelles/die-aktuellen-impfzahlen
Impfung,016.txt,https://corona-impfung.hessen.de/f%C3%BCr-b%C3%BCrger/die-impfzentren
ja,017.txt,https://corona-impfung.hessen.de/f%C3%BCr-b%C3%BCrger
Impfung,018.txt,https://corona-impfung.hessen.de/fragen-und-antworten-zum-impfen-in-hessen
Impfung,019.txt,https://corona-impfung.hessen.de/fragen-und-antworten-zum-impfen-in-hessen/sofortimpfung-f%C3%BCr-alle
Impfung,020.txt,https://corona-impfung.hessen.de/fragen-und-antworten-zum-impfen-in-hessen/impfberechtigung
Impfung,021.txt,https://corona-impfung.hessen.de/fragen-und-antworten-zum-impfen-in-hessen/wo-werde-ich-geimpft
Impfung,022.txt,https://corona-impfung.hessen.de/faq/durchf%C3%BChrung-der-impfung
Impfung,023.txt,https://corona-impfung.hessen.de/fragen-und-antworten-zum-impfen-in-hessen/nach-der-impfung
Impfung,024.txt,https://corona-impfung.hessen.de/fragen-und-antworten-zum-impfen-in-hessen/digitaler-impfnachweis
Impfung,025.txt,https://corona-impfung.hessen.de/fragen-und-antworten-zum-impfen-in-hessen/impfungen-bei-haus%C3%A4rztinnen-und-haus%C3%A4rzte
Impfung,026.txt,https://corona-impfung.hessen.de/fragen-und-antworten-zum-impfen-in-hessen/impfstoffe
Impfung,027.txt,https://corona-impfung.hessen.de/faq-0
ja,028.txt,https://www.hessen.de/fuer-buerger/corona-hessen/das-hessische-eskalationskonzept-im-ampelsystem
ja,029.txt,https://soziales.hessen.de/gesundheit/corona-in-hessen/das-hessische-praeventions-und-eskalationskonzept
ja,030.txt,https://www.hessen.de/fuer-buerger/corona-in-hessen/pandemiegerechtes-verhalten
nein,031.txt,https://www.hessen.de/fuer-buerger/corona-in-hessen/hessen-bleibt-besonnen
nein,032.txt,https://www.hessen.de/fuer-buerger/corona-in-hessen/faq-luca-app#Kontakte%20nachverfolgen
ja,033.txt,https://www.hessen.de/fuer-buerger/corona-hessen/mund-nasen-bedeckung
nein,034.txt,https://www.hessen.de/fuer-buerger/corona-hessen/fragen-anliegen-und-informationskanaele
ja,035.txt,https://www.hessen.de/fuer-buerger/corona-hessen/restaurants-reisen-und-uebernachtung
ja,036.txt,"https://www.hessen.de/fuer-buerger/corona-hessen/restaurants-reisen-und-uebernachtung/gaststaetten-und-hotels#Kantinen,%20Mensen%20und%20Rasth%C3%B6fe"
ja,037.txt,https://www.hessen.de/fuer-buerger/corona-hessen/restaurants-reisen-und-uebernachtung/quarantaene-reisen-und-mobilitaet
ja,038.txt,https://www.hessen.de/fuer-buerger/corona-hessen/treffen-veranstaltungen-freizeit-und-sport
